feature,trend_slope_log_window,spearman_window_correlation,mean_cv,mean_iqr,mean_missing_rate,mean_stability_inverse_var,mean_skew,mean_kurtosis
activity,1.133725693324864,0.31151504334697977,0.9310142543067639,8.673680384953817,0.0,0.013790105666419621,3.546347672013955,15.453800206083555
alpha_ratio,0.0031750705872871004,0.08879371406767135,0.20660145392684426,0.05050481339936804,0.0,1037.8537964593984,0.42289452371892805,1.5959366262333863
beta_alpha_ratio,0.03756325780912497,0.024845086912384948,0.3355473678300115,0.534128566639155,0.0,6.063485480002919,1.845403039371319,11.542016463514054
beta_ratio,0.010848477538316111,0.09383241562056062,0.12736137363295333,0.05159066160930279,0.0,844.3352468110819,0.31213741819645313,0.7758360751134412
entropy,0.9728356890984268,0.9602746698854804,0.062075930899769295,0.3790827226638794,0.0,8.664702805383138,-2.212574430185658,6.332129794500899
faa_f3_f4,0.0007995192301576674,-0.007209631477272438,45.429416139448236,0.4422746231436733,0.0,13.02439528824655,-0.129149119349644,0.2520743653902304
faa_f7_f8,-0.004535145743280507,-0.03406483869001215,0.35449844461729035,0.6557302216504972,0.0,5.557362602084897,-0.2453534767864955,0.4518735817790188
faa_fp1_fp2,-0.0035478234286780634,-0.09517249582079713,12.151491221838128,0.23186696705043597,0.0,50.36725302023402,-0.08075457836905726,0.3027864780006945
frontal_alpha,-0.3350660047461393,-0.011229872077981977,0.4232849062889932,3.6600111280553334,0.0,0.2416383268363814,1.4785694808906449,9.30174084214881
frontal_beta,0.06924656070641541,0.021736100847836236,0.595310321922725,5.882719933784106,0.0,0.05636696695891748,3.270085246558889,26.414759973806696
frontal_gamma,-0.03919397917903037,-0.0045294710767994125,0.8145008754734452,4.575139619443277,0.0,0.0754954613656097,3.4395989094328723,27.349017588757494
frontal_occipital_alpha_ratio,-0.09909784028522808,-0.14277214453319806,0.4218442882957455,1.0509775982588074,0.0,5.5663956402264665,1.0670283209252327,2.4520912494693046
gamma_beta_ratio,-0.00023911783492453634,0.0018493106763263877,0.225854994342076,0.14891324293764355,0.0,108.81540843701374,0.9598417188995243,2.4365766619374516
gamma_ratio,0.006627461210798224,0.09238512900430519,0.22873500133654692,0.04163196239272347,0.0,1040.1025695125422,0.8855586777084626,2.9988757425614136
occipital_alpha,0.25000404580067004,0.17252192497844865,0.6846581789270254,3.3736490940343007,0.0,0.1561158847769923,2.5460647259240057,15.425769748264099
temporal_alpha,0.014312451933883445,0.08321898043468744,0.7498836869007762,1.3322067619205782,0.0,0.7974077356751786,3.078117538097347,21.327776992941956
temporal_beta,0.023302290813280488,0.08064602645023333,1.473015403367114,0.8690993565958453,0.0,1.0798755558562951,5.259465259386884,45.67264945636649
theta_ratio,-0.010770832121499353,-0.0815036777783847,0.22065053705371374,0.07575524048801366,0.0,467.6181647377365,0.20351335560922318,1.003037534486718
